/mnt/media/2 B 3/The Toronto Sessions/01 Hip Hug-Her.mp3	Hip Hug-Her 	1 	2 B 3 	The Toronto Sessions 	2004 	 	Blues 	 	운암정의 아침 (instrumental) 	 	Various Artists 	食客, Volume 1 	2008-06-24 	Pastel Music 	None 	 							
/mnt/media/3 Mustaphas/Bam! Big Mustaphas Play Stereolocalmusic [FLAC]/15 Bam!.flac	Bam! 	15 	3 Mustaphas 3 	Bam! Big Mustaphas Play Stereolocalmusic 	1997 	 	World Music 	 	None 	 	3 Mustaphas 3 	4th Peel Session 	1985-04-24 	None 	None 	 							
/mnt/media/3 Mustaphas/Heart of Uncle [1989] [FLAC]/01 Awara Hoon.flac	Awara Hoon 	1 	3 Mustaphas 3 	Heart of Uncle 	1989 	 	World Music 	 	Awara Hoon 	 	3 Mustaphas 3 	Heart of Uncle 	1989 	Ace Records 	None 	 							
/mnt/media/3 Mustaphas/Heart of Uncle [1989] [FLAC]/02 Trois Fois Trois [City version 3x3].flac	Trois Fois Trois [City version 3x3] 	2 	3 Mustaphas 3 	Heart of Uncle 	1989 	 	World Music 	 	Sitna Lisa 	 	3 Mustaphas 3 	Heart of Uncle 	1989 	Ace Records 	None 	 							
/mnt/media/3 Mustaphas/Heart of Uncle [1989] [FLAC]/03 Sitna Lisa.flac	Sitna Lisa 	3 	3 Mustaphas 3 	Heart of Uncle 	1989 	 	World Music 	 	Anapse to tsigaro 	 	3 Mustaphas 3 	Heart of Uncle 	1989 	Ace Records 	None 	 							
/mnt/media/3 Mustaphas/Heart of Uncle [1989] [FLAC]/04 Mama O.flac	Mama O 	4 	3 Mustaphas 3 	Heart of Uncle 	1989 	 	World Music 	 	Mama O 	 	3 Mustaphas 3 	Heart of Uncle 	1989 	Ace Records 	None 	 							
/mnt/media/3 Mustaphas/Heart of Uncle [1989] [FLAC]/05 Ovčepolsko Oro.flac	Ovčepolsko Oro 	5 	3 Mustaphas 3 	Heart of Uncle 	1989 	 	World Music 	 	Kem Kem 	 	3 Mustaphas 3 	Heart of Uncle 	1989 	Ace Records 	None 	 							
/mnt/media/3 Mustaphas/Heart of Uncle [1989] [FLAC]/06 Kem Kem.flac	Kem Kem 	6 	3 Mustaphas 3 	Heart of Uncle 	1989 	 	World Music 	 	Trois fois trois (3x3 city version) 	 	3 Mustaphas 3 	Heart of Uncle 	1989 	Ace Records 	None 	 							
/mnt/media/3 Mustaphas/Heart of Uncle [1989] [FLAC]/07 Vi Bist Du Geveyzn Far Prohibish'n.flac	Vi Bist Du Geveyzn Far Prohibish'n? 	7 	3 Mustaphas 3 	Heart of Uncle 	1989 	 	World Music 	 	Kaba Mustapha / Valle e gajdes 	 	3 Mustaphas 3 	Heart of Uncle 	1989 	Ace Records 	None 	 							
/mnt/media/3 Mustaphas/Heart of Uncle [1989] [FLAC]/08 Kaba Mustapha - Valle E Gajdes.flac	Kaba Mustapha - Valle E Gajdes 	8 	3 Mustaphas 3 	Heart of Uncle 	1989 	 	World Music 	 	Taxi Driver (I Don’t Care) 	 	3 Mustaphas 3 	Heart of Uncle 	1989 	Ace Records 	None 	 							
/mnt/media/3 Mustaphas/Heart of Uncle [1989] [FLAC]/09 Trois Fois Trois [Country version 3x3].flac	Trois Fois Trois [Country version 3x3] 	9 	3 Mustaphas 3 	Heart of Uncle 	1989 	 	World Music 	 	Benga Taxi 	 	3 Mustaphas 3 	Heart of Uncle 	1989 	Ace Records 	None 	 							
